orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
208,"B0000304652852","2025-06-17",23767286,2,35440.03,13466.85,29289.28,0.00,6150.75,0.00000000000,"1018.87",0.00,"12567.30","899.55","","0.00","0.00",012
209,"B0000304652853","2025-06-17",23775475,2,29326.41,6108.70,24236.70,0.00,5089.71,0.00000000000,"843.11",0.00,"5299.00","809.70","","0.00","0.00",012
210,"B0000304652854","2025-06-17",23793988,2,74989.94,18745.95,61975.16,0.00,13014.78,0.00000000000,"2155.89",0.00,"10017.90","8728.05","","0.00","0.00",012
211,"B0000304652855","2025-06-17",23799137,2,25693.88,6238.80,21234.62,0.00,4459.27,0.00000000000,"738.67",0.00,"6238.80","0.00","","0.00","0.00",012
212,"B0000304652856","2025-06-17",23801310,2,24354.99,3039.20,20128.09,0.00,4226.90,0.00000000000,"700.18",0.00,"739.60","2299.60","","0.00","0.00",012
213,"B0000304652857","2025-06-17",23804670,2,28167.29,5339.50,23278.75,0.00,4888.54,0.00000000000,"809.78",0.00,"4139.60","1199.90","","0.00","0.00",012
214,"B0000304652858","2025-06-17",23806427,2,48912.02,17682.15,40423.16,0.00,8488.86,0.00000000000,"1406.17",0.00,"15807.90","1874.25","","0.00","0.00",012
215,"B0000304652859","2025-06-17",23806605,2,56000.26,14891.70,46281.21,0.00,9719.05,0.00000000000,"1609.95",0.00,"8998.80","5892.90","","0.00","0.00",012
216,"B0000304652860","2025-06-17",23888393,2,28636.79,6578.50,23666.77,0.00,4970.02,0.00000000000,"823.28",0.00,"6278.60","299.90","","0.00","0.00",012
217,"B0000304652861","2025-06-17",23892633,2,32281.67,7838.40,26679.06,0.00,5602.60,0.00000000000,"928.07",0.00,"7838.40","0.00","","0.00","0.00",012
218,"B0000304652862","2025-06-17",23893192,2,57651.83,13998.60,47646.14,0.00,10005.69,0.00000000000,"1657.43",0.00,"13998.60","0.00","","0.00","0.00",012
219,"B0000304652863","2025-06-17",23932732,2,52997.91,12612.75,43799.92,0.00,9197.98,0.00000000000,"1523.64",0.00,"5999.40","6613.35","","0.00","0.00",012
220,"B0000304652864","2025-06-17",23954906,2,105263.75,41245.50,86994.84,0.00,18268.92,0.00000000000,"3026.23",0.00,"39446.10","1799.40","","0.00","0.00",012
221,"B0000304652865","2025-06-17",23957590,2,32712.56,4218.90,27035.18,0.00,5677.39,0.00000000000,"940.45",0.00,"1239.60","2979.30","","0.00","0.00",012
222,"B0000304652866","2025-06-17",23957999,2,50234.04,16197.15,41515.74,0.00,8718.30,0.00000000000,"1444.18",0.00,"12898.20","3298.95","","0.00","0.00",012
223,"B0000304652867","2025-06-17",23984481,2,60019.66,21590.85,49603.02,0.00,10416.63,0.00000000000,"1725.51",0.00,"21216.00","374.85","","0.00","0.00",012
224,"B0000304652868","2025-06-17",24014850,2,34517.24,5569.10,28526.64,0.00,5990.59,0.00000000000,"992.34",0.00,"3319.40","2249.70","","0.00","0.00",012
225,"B0000304652869","2025-06-17",24022543,2,75457.13,21490.20,62361.26,0.00,13095.87,0.00000000000,"2169.32",0.00,"14547.00","6943.20","","0.00","0.00",012
226,"B0000304652870","2025-06-17",24034070,2,120414.66,39774.15,99516.25,0.00,20898.41,0.00000000000,"3461.80",0.00,"32530.20","7243.95","","0.00","0.00",012
227,"B0000304652871","2025-06-17",24043486,2,81632.94,26095.95,67465.24,0.00,14167.70,0.00000000000,"2346.87",0.00,"22766.70","3329.25","","0.00","0.00",012
228,"B0000304652872","2025-06-17",24045276,2,30674.06,5198.80,25350.46,0.00,5323.60,0.00000000000,"881.85",0.00,"3399.40","1799.40","","0.00","0.00",012
229,"B0000304652873","2025-06-17",24104647,2,127278.44,51458.70,105188.79,0.00,22089.65,0.00000000000,"3659.13",0.00,"50394.00","1064.70","","0.00","0.00",012
230,"B0000304652874","2025-06-17",24104710,2,81641.57,30191.55,67472.37,0.00,14169.20,0.00000000000,"2347.12",0.00,"27537.30","2654.25","","0.00","0.00",012
231,"B0000304652875","2025-06-17",24114642,2,82262.16,30685.80,67985.25,0.00,14276.90,0.00000000000,"2364.96",0.00,"28196.70","2489.10","","0.00","0.00",012
232,"B0000304652876","2025-06-17",24121088,2,41281.71,8899.10,34117.11,0.00,7164.59,0.00000000000,"1186.81",0.00,"7999.40","899.70","","0.00","0.00",012
233,"B0000304652877","2025-06-17",24122343,10,286621.82,69963.30,214368.81,0.00,72253.01,0.00000000000,"8240.10",0.00,"35423.10","34540.20","","0.00","27235.56",012
234,"B0000304652878","2025-06-17",24130141,2,50503.94,19737.00,41738.79,0.00,8765.15,0.00000000000,"1451.94",0.00,"18837.30","899.70","","0.00","0.00",012
235,"B0000304652879","2025-06-17",24168831,2,51035.32,17322.90,42177.95,0.00,8857.37,0.00000000000,"1467.22",0.00,"14578.50","2744.40","","0.00","0.00",012
236,"B0000304652880","2025-06-17",24172332,2,42984.36,11336.40,35524.26,0.00,7460.10,0.00000000000,"1235.76",0.00,"10586.70","749.70","","0.00","0.00",012
237,"B0000304652881","2025-06-17",24173665,2,12970.18,1399.70,10719.16,0.00,2251.02,0.00000000000,"372.88",0.00,"0.00","1399.70","","0.00","0.00",012
238,"B0000304652882","2025-06-17",24175536,2,29914.32,6138.70,24722.58,0.00,5191.74,0.00000000000,"860.01",0.00,"5238.80","899.90","","0.00","0.00",012
239,"B0000304652883","2025-06-17",24187682,2,149616.49,60863.85,123649.99,0.00,25966.50,0.00000000000,"4301.33",0.00,"59874.00","989.85","","0.00","0.00",012
240,"B0000304652884","2025-06-17",24187747,2,29493.83,6849.10,24375.07,0.00,5118.76,0.00000000000,"847.92",0.00,"6599.20","249.90","","0.00","0.00",012
241,"B0000304652885","2025-06-17",24202118,2,132903.83,42295.05,109837.87,0.00,23065.95,0.00000000000,"3820.86",0.00,"33176.70","9118.35","","0.00","0.00",012
242,"B0000304652886","2025-06-17",24226807,2,31282.55,5708.80,25853.35,0.00,5429.20,0.00000000000,"899.34",0.00,"4199.20","1509.60","","0.00","0.00",012
243,"B0000304652887","2025-06-17",24247340,2,36920.39,6328.05,30512.72,0.00,6407.67,0.00000000000,"1061.43",0.00,"0.00","6328.05","","0.00","0.00",012
244,"B0000304652888","2025-06-17",24296597,2,110191.97,35155.95,91067.75,0.00,19124.23,0.00000000000,"3167.91",0.00,"27657.90","7498.05","","0.00","0.00",012
245,"B0000304652889","2025-06-17",24300756,2,85647.34,30187.95,70782.92,0.00,14864.41,0.00000000000,"2462.28",0.00,"26364.00","3823.95","","0.00","0.00",012
246,"B0000304652890","2025-06-17",24315478,2,70187.33,29215.50,58006.06,0.00,12181.27,0.00000000000,"2017.82",0.00,"29215.50","0.00","","0.00","0.00",012
247,"B0000304652891","2025-06-17",24333212,2,84163.84,5443.80,69556.89,0.00,14606.95,0.00000000000,"2419.63",0.00,"2729.40","2714.40","","0.00","0.00",012
248,"B0000304652892","2025-06-17",24355666,2,73648.95,30656.40,60866.90,0.00,12782.05,0.00000000000,"2117.34",0.00,"30656.40","0.00","","0.00","0.00",012
249,"B0000304652893","2025-06-17",24355682,2,96288.19,18582.00,79577.02,0.00,16711.17,0.00000000000,"2768.19",0.00,"7768.80","10813.20","","0.00","0.00",012
250,"B0000304652894","2025-06-17",24362247,2,45473.12,18928.20,37581.09,0.00,7892.03,0.00000000000,"1307.31",0.00,"18928.20","0.00","","0.00","0.00",012
251,"B0000304652895","2025-06-17",24366323,2,143411.40,43283.55,118521.82,0.00,24889.58,0.00000000000,"4122.94",0.00,"31795.50","11488.05","","0.00","0.00",012
252,"B0000304652896","2025-06-17",24369462,2,17500.52,2999.60,14463.24,0.00,3037.28,0.00000000000,"503.12",0.00,"1999.80","999.80","","0.00","0.00",012
253,"B0000304652897","2025-06-17",24378135,2,95518.58,34510.50,78940.97,0.00,16577.60,0.00000000000,"2746.07",0.00,"30836.10","3674.40","","0.00","0.00",012
254,"B0000304652898","2025-06-17",24378151,2,55756.35,12038.60,46079.63,0.00,9676.72,0.00000000000,"1602.94",0.00,"10838.80","1199.80","","0.00","0.00",012
