cod_articulo,precio,descripcion,descripcion_adic,escala_1,escala_2,cod_unidad_medida,cod_barra,usa_escala,cta_compras,lleva_partida,lleva_serie,alicuota_iva,cta_ventas,cod_proveedor,sinonimo,alicuota_iva_co,porc_comision_ventas,porc_utilidad,stk_maximo,stk_minimo,punto_pedido,equivalencia,unidad_medida_compra
100352,"0.00","STAND UP LAVANDA CREMA REPARAD INT 90G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100357,"17999.00","EAU TOILETTE FEM. PARAISO TROPICAL 60ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100358,"0.00","CREMA PARA CUERPO 3 EN 1 400G SELVA","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100359,"0.00","CREMA P/MANOS 3 EN 1 2019 110G FLORES","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100391,"0.00","EAU TOILETTE MASC. HOMME SPORT EXTR 50ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100392,"0.00","BANDAS DEPILATORIAS ROSTRO ALOE VERA X6","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100393,"0.00","BANDAS DEPILATORIAS CUERPO ALOE VERA X6","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100397,"0.00","NUESTRAS REGIONES PATAGONIA CR.MANOS 30G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100403,"0.00","LAPIZ LAB.CREM. CASUAL 73 BORGOÑA INTENS","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100405,"0.00","ESMALTE CREM. CASUAL 73 BORGOÑA INTENSO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100424,"0.00","DELINEADOR RET.CEJAS SK LL 01 LIGHT BROW","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100425,"8499.00","DELINEADOR RET. CEJAS SK LL 02 DEEP BROW","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100440,"8999.00","POMELO NATURAL LECHE DE LIMPIEZA 145CC","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100441,"4999.00","POMELO NATURAL CR.HIDRATANTE EFECTO MATE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100450,"0.00","PERFECTION MASC. P/PESTANAS RESIST. 5G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100451,"0.00","STAND UP LAVANDA CREMA ULTRA HIDR. 90G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100455,"0.00","EAU TOILETTE FEM. SEX WOMEN INTENSE 50ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100459,"0.00","LOCION COLONIA FEMENINA ADDICTION 60ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100464,"0.00","VIOLETTA TOYS BUBU COL. BEBES Y NIÑOS100","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100490,"0.00","VIT C PROTECTOR LABIAL ANTIOXIDANTE 4G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
