orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
298,"B0000304653638","2025-06-17",24904236,2,27995.52,4798.35,23136.80,0.00,4858.73,0.00000000000,"804.84",0.00,"0.00","4798.35","","0.00","0.00",085
299,"B0000304653639","2025-06-17",24905780,2,59337.38,24056.55,49039.16,0.00,10298.22,0.00000000000,"1705.89",0.00,"23606.70","449.85","","0.00","0.00",085
300,"B0000304653640","2025-06-17",24905810,2,25941.80,6299.00,21439.51,0.00,4502.30,0.00000000000,"745.80",0.00,"6299.00","0.00","","0.00","0.00",085
301,"B0000304653641","2025-06-17",24906336,2,21824.23,5299.20,18036.55,0.00,3787.68,0.00000000000,"627.43",0.00,"5299.20","0.00","","0.00","0.00",085
302,"B0000304653642","2025-06-17",24906352,2,21824.23,5299.20,18036.55,0.00,3787.68,0.00000000000,"627.43",0.00,"5299.20","0.00","","0.00","0.00",085
303,"B0000304653643","2025-06-17",24906450,2,34640.91,7349.00,28628.85,0.00,6012.06,0.00000000000,"995.89",0.00,"6499.20","849.80","","0.00","0.00",085
304,"B0000304653644","2025-06-17",24906816,2,21205.46,4399.20,17525.17,0.00,3680.29,0.00000000000,"609.64",0.00,"3799.40","599.80","","0.00","0.00",085
305,"B0000304653645","2025-06-17",24907405,2,17294.81,4199.40,14293.23,0.00,3001.58,0.00000000000,"497.21",0.00,"4199.40","0.00","","0.00","0.00",085
306,"B0000304653646","2025-06-17",24908029,2,21825.06,5299.40,18037.24,0.00,3787.82,0.00000000000,"627.45",0.00,"5299.40","0.00","","0.00","0.00",085
307,"B0000304653647","2025-06-17",24920851,2,50649.25,8798.90,41858.88,0.00,8790.37,0.00000000000,"1456.12",0.00,"5999.40","2799.50","","0.00","0.00",085
308,"B0000304653648","2025-06-17",24920860,2,39656.06,9973.05,32773.61,0.00,6882.46,0.00000000000,"1140.07",0.00,"5399.40","4573.65","","0.00","0.00",085
309,"B0000304653649","2025-06-17",24920908,2,64928.26,27026.40,53659.72,0.00,11268.54,0.00000000000,"1866.62",0.00,"27026.40","0.00","","0.00","0.00",085
310,"B0000304653650","2025-06-17",24920924,2,40199.23,10948.50,33222.50,0.00,6976.73,0.00000000000,"1155.69",0.00,"6899.40","4049.10","","0.00","0.00",085
311,"B0000304653651","2025-06-17",24921572,2,36004.63,12523.50,29755.89,0.00,6248.74,0.00000000000,"1035.10",0.00,"10799.10","1724.40","","0.00","0.00",085
312,"B0000304653652","2025-06-17",24921599,2,28765.98,10153.05,23773.54,0.00,4992.44,0.00000000000,"826.99",0.00,"8878.50","1274.55","","0.00","0.00",085
313,"B0000304653653","2025-06-17",24921777,2,35883.24,6138.40,29655.57,0.00,6227.67,0.00000000000,"1031.61",0.00,"4078.80","2059.60","","0.00","0.00",085
314,"B0000304653654","2025-06-17",24921807,2,26652.02,5209.20,22026.46,0.00,4625.56,0.00000000000,"766.22",0.00,"4199.40","1009.80","","0.00","0.00",085
315,"B0000304653655","2025-06-17",24921823,2,29274.44,3159.20,24193.75,0.00,5080.69,0.00000000000,"841.61",0.00,"0.00","3159.20","","0.00","0.00",085
316,"B0000304653656","2025-06-17",24922498,2,23343.95,2519.20,19292.52,0.00,4051.43,0.00000000000,"671.12",0.00,"0.00","2519.20","","0.00","0.00",085
317,"B0000304653657","2025-06-17",24922579,2,85959.19,33745.05,71040.66,0.00,14918.54,0.00000000000,"2471.24",0.00,"32320.20","1424.85","","0.00","0.00",085
318,"B0000304653658","2025-06-17",24922595,2,36739.67,14007.60,30363.36,0.00,6376.31,0.00000000000,"1056.23",0.00,"13107.90","899.70","","0.00","0.00",085
